Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,9th-8th century BCE,"Chinese, South and Southeast Asian Art","6 3/4 ? 19 3/8 ? 21 1/4 in., 14.1 lb. (17.15 ? 49.21 ? 53.98 cm, 6.4 kg)
16 1/4 in. (41.28 cm) (object part, mouth)
11 3/4 in. (29.85 cm) (object part, foot)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"The disposition of this vessel is unusual, for, despite the fact that it has the broad shallow bowl and deep foot of its class, it does not rest on the foot proper. It is supported instead by three small human figures facing outward as they grip the rim of the foot. their bent knees suggest clearly the weight of their burden, as does the strained positon of their heads, held close to the bottom of the bowl and bearing part of its weight. On each of two handles of the bent ear type, an ox reclines calmly, its head turned outward, its legs folded under the body. The division of the vessel into the usual four sections is achieved by two more animals contrasting strongly with the placid oxen. These are dragons that climb vigorously up the sides of the bowl and bite on its rim. The neck belt displays the broad, figured bands of Middle Chou and the foot carries a band of hanging scales of an advanced, almost squared type. Patina sharp green with patches of blue.",N/A,9th-8th century BCE,N/A,Water vessel pan,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,5th-4th century BCE,"Chinese, South and Southeast Asian Art","6 11/16 ? 8 7/8 ? 7 3/16 in., 4.4 lb. (16.99 ? 22.54 ? 18.26 cm, 2 kg)
6 11/16 in. (17 cm) (object part, mouth-a)
7 1/8 in. (18.1 cm) (object part, mouth-b)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"This ting represents the Huai style at its extreme point in the matter of the vessel shape. The tradition that in this style the body of the Ting is big and bulky in proportion to the extremely short, thin legs, is here carried to the ultimate degree. The high lid, its ring-shaped top capable of serving as a foot if the lid is inverted, is fully spherical in shape. The legs are very small and thin and display a t'ao-t'ieh with spiral horns on their upper parts. (The t'ao-t'ieh, all but extinct during Middle Chou, reappeared in the Huai Style Period). Dissolved dragon rigid ring handles are adorned with a row of cowries bordered by rope-patterned bands. On the top of the lid, a loosely twined cord pattern encloses a quartefoil with its central disk filled with granulation. Patina blue-green.",N/A,5th-4th century BCE,N/A,Covered <i>ding</i> (Vessel with Cover),N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,(-1100 - -1001),"Chinese, South and Southeast Asian Art","9 7/16 ? 7 ? 4 15/16 in., 2.4 lb. (23.97 ? 17.78 ? 12.54 cm, 1.1 kg)",Inscription,Bronze,N/A,N/A,Public Domain,Not on View,"Tsue (Chueh), inscribed. This 'Wine cup (in bird shape)' is an unusually fine example of its type. The ample well-proportioned bowl of this vessel provides and admirable balance for the slender, spreading legs. In the principal decor belt is a strongly dissolved t'ao-t'ieh, its horns, shield and c-shaped mouth-line so filled with spirals that they almost coalesce with the background spirals.The neck bears a band of rising blades, the one under the spout elongated. An animal's head of the bovine type decorates the top of the handle, and whorl circles appear on the tops of the uprights. Patina blue -green. The inscription probably depicts a scene of human sacrifice.",N/A,Western Zhou dynasty,N/A,<I>Jue<I> (ritual wine vessel),N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,13th-12th century BCE,"Chinese, South and Southeast Asian Art","8 1/4 ? 4 7/8 ? 4 1/8 in., 3.1 lb. (20.9 ? 12.4 ? 10.4 cm, 1.4 kg)
4 1/16 ? 2 15/16 in. (10.32 ? 7.46 cm) (object part, mouth-b)
4 15/16 ? 3 5/8 in. (12.54 ? 9.21 cm) (object part, mouth-a)
4 1/8 ? 2 15/16 in. (10.48 ? 7.46 cm) (object part, foot)",Inscription,Bronze,N/A,N/A,Public Domain,Not on View,"Wine Cup 'CHI', inscribed. The decor on a ground of spirals is one of restrained exuberance, dragonized t'ao-t'ieh (winged type) appear in the foot and neck belts, which are interrupted by shallow, flat flanges only on the long sides. The bodied t'ao-t'ieh on the belly displays tiny hooks on the forehead shield, and scores on the horns similar to those usually found on flanges. Two strongly stylized, head-turning dragons appear behind the feet of the t'ao-t'ieh. Rising blades, with spirals suggesting dissolved cicadas, adorn the neck of the vessel. The lid has two t'ao-t'ieh masks on a ground of squared spirals. Patina grey-green and blue-green. The meaning ofthe inscription, showing two arrows on a stand, is unknown.",N/A,13th-12th century BCE,N/A,Wine vessel zhi,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,13th-12th century BCE,"Chinese, South and Southeast Asian Art","10 13/16 ? 7 1/2 ? 7 13/16 in., 5.7 lb. (27.46 ? 19.05 ? 19.84 cm, 2.6 kg)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"'Kia', with uprights. A strongly S-profiled wall, its inward curvature placed low, creates a high, flaring collar decorated with a band of dragonized t'ao-t'ieh. Above is a row of rising blades filled with stylized cicadas. On the body, three deeply scored flanges form the central ridges of three dissolved t'ao-t'ieh on a spiral ground. The handle is surmounted by an animal's head with well defined feratures. The upper part, forming the neck of the animal, is covered with rows of scales; the lower part, starting from the mouth, is decorated with incised compound spirals in front and with lozenges in low relief on the sides. Directly under the handle, two small dragons with turned heads stand opposite each other. Patina blue-green.",N/A,13th-12th century BCE,N/A,Wine vessel jia,N/A
Maker: T'Ien Nung, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,12th century BCE,"Chinese, South and Southeast Asian Art","15 ? 9 9/16 ? 9 3/16 in., 9.9 lb. (38.1 ? 24.3 ? 23.4 cm, 4.5 kg)","Inscription

\'T\'ien Nung has made the precious ritual vessel.\'",Bronze,N/A,N/A,Public Domain,Not on View,"The decor of the upper part of this bipartite boiler is restricted to a neck belt with low, narrow flanges of which every second becomes the central ridge in the face of a dragonized t'ao-t'ieh,the halves formed by winged dragons.The bulbs of the Li-ting forming the lower half of the vessel are adorned with forceful t'ao-t'ieh heads of a fairly realistic bovine type, with eyebrows, ears, scaly horns .",N/A,12th century BCE,N/A,Steamer yan,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,late 12th-11th century BCE,"Chinese, South and Southeast Asian Art","7 3/8 ? 6 1/16 ? 2 5/16 in., 1.1 lb. (18.73 ? 15.4 ? 5.87 cm, 0.5 kg)
2 in. (5.08 cm) (object part, open end)",N/A,Bronze with turquoise,N/A,N/A,Public Domain,Not on View,"This animal, resembling a horse, has eyes inlaid with turquoise. The pose and treatment of the details the tense, straight legs converging to balance on a small surface; the slender body; and the line of the neck continuing almost directly the line of the front legs, are strikingly similar to those found in the Northern Nomad animal style. One might be tempted to class this piece as a product of the Steppe culture were it not for the fact that the patina is the well known An-yang (Honan) patina, which is very unlike that of objects from the Steppe. Moreover, since the shape of the pole top is well known from Yin and Early Chou exaples and since, in recent years, an entire series of style elements typical of the Nomad Art has cropped up among the An-Yang finds dating from the second millenium B.C.(see Bmfea, Volume 17, page 101 ff.), there should be no hesitation in assigning this example to the An-Yang culture or its immediate aftermath. Patina blue-green.",N/A,12th-11th century BCE,N/A,Finial with Animal,N/A
N/A, Metalwork; Sculpture,Asia,China,Bequest of Alfred F. Pillsbury,late 12th-11th century BCE,"Chinese, South and Southeast Asian Art",5 3/4 in. (14.61 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,"Pole top with animal. This pole top, a companion to 50.46.92 varies only slightly in detail to it. The pose is almost identical, but the present animal is mounted on a low, domed base instead of a rather high cylindrical one, and its longer tail turns in and down in the manner displayed by the Northern Nomad animal style (Ordos) example in the museum of Far Eastern Antiquities in Stockholm (cf. Karlgren Number 65 and 66) Patina blue-green.",N/A,12th-11th century BCE,N/A,Animal on Domed Base,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,11th century BCE,"Chinese, South and Southeast Asian Art","8 9/16 ? 8 5/16 ? 5 5/8 in., 5.7 lb. (21.75 ? 21.11 ? 14.29 cm, 2.6 kg)
5 1/2 ? 4 3/8 in. (13.97 ? 11.11 cm) (object part, mouth-b)
4 7/8 ? 3 7/8 in. (12.38 ? 9.84 cm) (object part, mouth-a)
5 13/16 ? 4 13/16 in. (14.76 ? 12.22 cm) (object part, foot)",Inscription,Bronze,N/A,N/A,Public Domain,Not on View,"Wine Can, so-called 'YOU', inscribed. The decor is limited to the neck and corresponding lid belts, and to the handle bow. The first is divided into four parts by the rings of the handle and two free animals' heads. The lid with a ring-shaped knob, is divided into two parts by toothlike projections corresponding to the handle-rings of the body. The two belts are filled with antithetical deer, reminiscent of the Northern Nomad animal style, in rounded relief on a bare ground. The handle carries three t'ao-t'ieh like figures in narrow thread relief between three lozenges in high, angular relief. The handle terminates in rams heads. Patina silvery-greeen wih patches of red. This vessel is one of two that belonged to the Imperial Colllection. The inscription is the same on both the known vessels. See Karlgren, number 15 (50.46.94a,b) for comment.",N/A,11th century BCE,"This is one of a pair of inscribed vessels first published in the <I>Xiqing Gujian</I>, the 18th century imperial catalogue of bronzes belonging to the Qianlong dynasty emperor (r. 1736-1795). The deer shown in the decorative bands on the neck and lid are rare motifs but their inclusion here is explained in the thirty-six character inscription which reads: 

In the first month of the day dingchou, the King 
went to Lu where he correctly performed the 
liao sacrifice. The King ordered Shi Tao to 
present the Prince of Mo with three deer. The 
Prince of Mo in order to extoll the King's grace
made this precious vessel.",You (Ritual Wine Vessel),N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,5th-4th century BCE,"Chinese, South and Southeast Asian Art","14 3/16 ? 8 3/16 ? 7 7/8 in., 9.3 lb. (36.04 ? 20.8 ? 20 cm, 4.2 kg)
3 13/16 ? 3 7/8 in. (9.68 ? 9.84 cm) (object part, mouth)
4 7/8 ? 4 15/16 in. (12.38 ? 12.54 cm) (object part, foot)",N/A,Bronze,N/A,N/A,Public Domain,Not on View,"This vessel has the beautiful proportions and soft profile typical of the group of Hu once inlaid with turquoise, other semi-precious stones, or perhaps niello. The animals which inspired the decor have been so corrupted and dissolved that the whole surface is a maze of lines, hooks, and spirals. Remnants of interlaced dragons are still discernible in the narrower bands, and occasionally, in the highly geometricized decor, a definite shape, such as the dragons flanking the central medallion, may be isolated. These medallion-like figures appear in the median line, with the decor pattern symmetrically arranged on each side. The middle one of the figures- best seen in the neck belt- is a t'ao-t'ieh mask with forehead shield, horns, and nostrils as seen in many appliques. The T'ao-t'ieh on the handle ring displays an interesting revival of a Yin-time motif a figure between the eyes showing one round knob in the center surrounded by six other knobs. Patina silvery green.",N/A,5th-4th century BCE,"This elegant vessel displays a complex overall recessed decor that suggests the piece may have originally been inlaid with silver or turquoise. Although the geometricized pattern is derived from highly stylized interlaced dragons, the ultimate inspiration for this rich embellishment may well have been painted lacquers or polychrome silk brocades of the Warring States era.",Wine vessel <i>fanghu</i>,N/A
N/A, Metalwork,Asia,China,Bequest of Alfred F. Pillsbury,5th century BCE,"Chinese, South and Southeast Asian Art","13 3/8 ? 13 5/16 ? 4 15/16 in., 15.4 lb. (33.97 ? 33.81 ? 12.54 cm, 7 kg)
4 5/16 in. (10.95 cm) (object part, mouth)
6 9/16 ? 3 7/8 in. (16.67 ? 9.84 cm) (object part, foot)",N/A,Bronze with copper inlay,N/A,N/A,Public Domain,Not on View,"The chequer motif achieved by plain bands (here with raised borders), each chequer filled with the comma pattern (cf. Karlgren Number 55, 50.46.10), is common on these flat Hu. The rising blades on the neck are bare. The t'ao-t'ieh mask on the loose ring handles has the volute with triangle as its principal decor feature (on the ring in inlay); on the cheek line there is a granulation pattern. Patina greenish-grey. With copper inlay; Huai style.",N/A,5th century BCE,"With its flattened oval form and a brickwork arrangement of rectangular panels decorated with a tight ""feather curl"" pattern in relief, this wine flask emphasizes the creative approach taken toward surface ornamentation during the late Bronze Age. The bands dividing the cast panels and triangle pattern on the neck are of inlaid copper. The ""feather curl"" pattern seen here exists in slightly different versions on many other late Chou bronzes and seems to have persisted from about 600 to 250 b.c.",Wine vessel <i>bianhu</i>,N/A
